Unnamed: 0,Z-score,equipment,type_x,b_type,fridge,washer,tv,ac,wheater,bed,closet,fourthTv,net,gas,sofa,tableAndChairs,balcony,lift,park,gender,publisher,title,kind_name,price,price_unit,section_name,street_name,location,area_y,refresh_time,yesterday_hit,surrounding
3632473,0.0,0.0,4房2廳2衛,電梯大樓,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,none,屋主,河堤國小學區，全新裝潢，可立即入住,整層住家,20000,元/月,三民區,鼎和街,三民區-鼎和街45巷,45.0,3小時內,59,"{'type': 'bus_station', 'desc': '距金獅湖站', 'distance': '512公尺'}"
4454420,0.0,0.0,5房3廳3衛,透天厝,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,none,屋主,後昌路透天2.3.4樓出租!可當住家,整層住家,22000,元/月,楠梓區,後昌路,楠梓區-後昌路,27.0,12天前,21,"{'type': 'subway_station', 'desc': '距油廠國小站', 'distance': '466公尺'}"
4560336,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,none,屋主,高師大學區＊一房一廳一衛,獨立套房,6500,元/月,苓雅區,凱旋二路,苓雅區-凱旋二路81巷,10.0,5小時內,35,"{'type': 'subway_station', 'desc': '距五塊厝站', 'distance': '596公尺'}"
4569608,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,屋主,全新雙人套房鄰大東捷運站/大東藝術館,獨立套房,7000,元/月,鳳山區,經武路,鳳山區-經武路28巷,6.5,4天前,14,"{'type': 'subway_station', 'desc': '距大東站', 'distance': '230公尺'}"
4627297,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,屋主,近高應大、育英全新獨立套房,獨立套房,6500,元/月,三民區,皓東路,三民區-皓東路240號,6.0,3小時內,26,"{'type': 'restaurant', 'desc': '距阿嬤の火雞肉飯', 'distance': '66公尺'}"
4779344,0.0,0.0,分租套房,公寓,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,none,屋主,中華四路優質超大套房近捷運遠東百貨,分租套房,10000,元/月,前鎮區,中華四路,前鎮區-中華四路,18.0,3小時內,21,"{'type': 'subway_station', 'desc': '距捷運三多商圈站', 'distance': '316公尺'}"
5007998,0.0,0.0,3房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,none,屋主,美術館高樓層附平面車位含管理費室內27坪,整層住家,27000,元/月,鼓山區,美術北三路,鼓山區-美術北三路87號,46.0,3小時內,29,"{'type': 'bus_station', 'desc': '距臺鐵內惟站', 'distance': '446公尺'}"
5527059,0.0,0.0,3房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,none,屋主,鳳山市中心高樓層捷運精品機能宅,整層住家,23000,元/月,鳳山區,立德街,鳳山區-立德街,36.6,4小時內,32,"{'type': 'subway_station', 'desc': '距大東站', 'distance': '493公尺'}"
6630821,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,none,屋主,左營套房出租●近高鐵●漢神巨蛋●文藻,獨立套房,6500,元/月,左營區,文自路,左營區-文自路524巷,6.0,4小時內,29,"{'type': 'subway_station', 'desc': '距生態園區站', 'distance': '607公尺'}"
7265927,0.0,0.0,獨立套房,電梯大樓,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,none,仲介,捷運文化中心站大客廳+大套房,獨立套房,10000,元/月,新興區,六合路,新興區-六合路,13.9,2小時內,64,"{'type': 'subway_station', 'desc': '距文化中心站', 'distance': '287公尺'}"
